id,referencia,marca,capacidad,ciudad,responsable
4818,"ACH01,ACH22,ACH43","sony, rico, kelley",268,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2443,"ACH01,ACH22,ACH43","sony, rico, kelley",1121,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7758,"ACH01,ACH22,ACH43","sony, rico, kelley",358,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7409,"ACH01,ACH22,ACH43","sony, rico, kelley",1604,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9333,"ACH01,ACH22,ACH43","sony, rico, kelley",1519,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3044,"ACH01,ACH22,ACH43","sony, rico, kelley",396,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9179,"ACH01,ACH22,ACH43","sony, rico, kelley",1779,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7798,"ACH01,ACH22,ACH43","sony, rico, kelley",478,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7796,"ACH01,ACH22,ACH43","sony, rico, kelley",1417,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2938,"ACH01,ACH22,ACH43","sony, rico, kelley",1768,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2762,"ACH01,ACH22,ACH43","sony, rico, kelley",1002,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7019,"ACH01,ACH22,ACH43","sony, rico, kelley",919,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9733,"ACH01,ACH22,ACH43","sony, rico, kelley",1217,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5319,"ACH01,ACH22,ACH43","sony, rico, kelley",146,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4746,"ACH01,ACH22,ACH43","sony, rico, kelley",1045,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4753,"ACH01,ACH22,ACH43","sony, rico, kelley",1467,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6348,"ACH01,ACH22,ACH43","sony, rico, kelley",1773,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2254,"ACH01,ACH22,ACH43","sony, rico, kelley",1069,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9883,"ACH01,ACH22,ACH43","sony, rico, kelley",1386,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5231,"ACH01,ACH22,ACH43","sony, rico, kelley",183,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2674,"ACH01,ACH22,ACH43","sony, rico, kelley",948,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8142,"ACH01,ACH22,ACH43","sony, rico, kelley",596,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7332,"ACH01,ACH22,ACH43","sony, rico, kelley",1477,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1005,"ACH01,ACH22,ACH43","sony, rico, kelley",169,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7537,"ACH01,ACH22,ACH43","sony, rico, kelley",850,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4549,"ACH01,ACH22,ACH43","sony, rico, kelley",1380,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3110,"ACH01,ACH22,ACH43","sony, rico, kelley",1568,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3296,"ACH01,ACH22,ACH43","sony, rico, kelley",985,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6127,"ACH01,ACH22,ACH43","sony, rico, kelley",1454,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
278,"ACH01,ACH22,ACH43","sony, rico, kelley",671,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
852,"ACH01,ACH22,ACH43","sony, rico, kelley",100,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8203,"ACH01,ACH22,ACH43","sony, rico, kelley",1353,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4263,"ACH01,ACH22,ACH43","sony, rico, kelley",1000,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5645,"ACH01,ACH22,ACH43","sony, rico, kelley",1797,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7719,"ACH01,ACH22,ACH43","sony, rico, kelley",249,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8341,"ACH01,ACH22,ACH43","sony, rico, kelley",943,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9160,"ACH01,ACH22,ACH43","sony, rico, kelley",1331,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7959,"ACH01,ACH22,ACH43","sony, rico, kelley",581,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7925,"ACH01,ACH22,ACH43","sony, rico, kelley",1488,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4163,"ACH01,ACH22,ACH43","sony, rico, kelley",334,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7470,"ACH01,ACH22,ACH43","sony, rico, kelley",1059,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7353,"ACH01,ACH22,ACH43","sony, rico, kelley",1920,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3145,"ACH01,ACH22,ACH43","sony, rico, kelley",641,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8164,"ACH01,ACH22,ACH43","sony, rico, kelley",1602,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7745,"ACH01,ACH22,ACH43","sony, rico, kelley",1233,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7928,"ACH01,ACH22,ACH43","sony, rico, kelley",479,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6269,"ACH01,ACH22,ACH43","sony, rico, kelley",634,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8157,"ACH01,ACH22,ACH43","sony, rico, kelley",1927,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1325,"ACH01,ACH22,ACH43","sony, rico, kelley",1992,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2448,"ACH01,ACH22,ACH43","sony, rico, kelley",713,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5678,"ACH01,ACH22,ACH43","sony, rico, kelley",1062,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2601,"ACH01,ACH22,ACH43","sony, rico, kelley",1681,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4966,"ACH01,ACH22,ACH43","sony, rico, kelley",714,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7880,"ACH01,ACH22,ACH43","sony, rico, kelley",832,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7959,"ACH01,ACH22,ACH43","sony, rico, kelley",1193,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2239,"ACH01,ACH22,ACH43","sony, rico, kelley",1984,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6472,"ACH01,ACH22,ACH43","sony, rico, kelley",894,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1957,"ACH01,ACH22,ACH43","sony, rico, kelley",1352,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9959,"ACH01,ACH22,ACH43","sony, rico, kelley",1049,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7806,"ACH01,ACH22,ACH43","sony, rico, kelley",1615,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8948,"ACH01,ACH22,ACH43","sony, rico, kelley",500,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3096,"ACH01,ACH22,ACH43","sony, rico, kelley",123,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
864,"ACH01,ACH22,ACH43","sony, rico, kelley",1452,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2077,"ACH01,ACH22,ACH43","sony, rico, kelley",1804,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3068,"ACH01,ACH22,ACH43","sony, rico, kelley",704,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6884,"ACH01,ACH22,ACH43","sony, rico, kelley",1833,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6017,"ACH01,ACH22,ACH43","sony, rico, kelley",855,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9005,"ACH01,ACH22,ACH43","sony, rico, kelley",908,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8761,"ACH01,ACH22,ACH43","sony, rico, kelley",498,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8295,"ACH01,ACH22,ACH43","sony, rico, kelley",175,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9286,"ACH01,ACH22,ACH43","sony, rico, kelley",537,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3606,"ACH01,ACH22,ACH43","sony, rico, kelley",448,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8900,"ACH01,ACH22,ACH43","sony, rico, kelley",334,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
4288,"ACH01,ACH22,ACH43","sony, rico, kelley",455,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7574,"ACH01,ACH22,ACH43","sony, rico, kelley",352,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5172,"ACH01,ACH22,ACH43","sony, rico, kelley",174,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8760,"ACH01,ACH22,ACH43","sony, rico, kelley",1589,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5154,"ACH01,ACH22,ACH43","sony, rico, kelley",267,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3310,"ACH01,ACH22,ACH43","sony, rico, kelley",317,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1992,"ACH01,ACH22,ACH43","sony, rico, kelley",530,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1846,"ACH01,ACH22,ACH43","sony, rico, kelley",1949,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7853,"ACH01,ACH22,ACH43","sony, rico, kelley",903,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
770,"ACH01,ACH22,ACH43","sony, rico, kelley",1467,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2157,"ACH01,ACH22,ACH43","sony, rico, kelley",830,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5896,"ACH01,ACH22,ACH43","sony, rico, kelley",1271,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9030,"ACH01,ACH22,ACH43","sony, rico, kelley",800,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9425,"ACH01,ACH22,ACH43","sony, rico, kelley",1017,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6958,"ACH01,ACH22,ACH43","sony, rico, kelley",1203,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6034,"ACH01,ACH22,ACH43","sony, rico, kelley",1236,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
6236,"ACH01,ACH22,ACH43","sony, rico, kelley",1800,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3225,"ACH01,ACH22,ACH43","sony, rico, kelley",724,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5898,"ACH01,ACH22,ACH43","sony, rico, kelley",751,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3414,"ACH01,ACH22,ACH43","sony, rico, kelley",1713,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5550,"ACH01,ACH22,ACH43","sony, rico, kelley",1313,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
492,"ACH01,ACH22,ACH43","sony, rico, kelley",1715,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1354,"ACH01,ACH22,ACH43","sony, rico, kelley",1427,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9130,"ACH01,ACH22,ACH43","sony, rico, kelley",659,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9648,"ACH01,ACH22,ACH43","sony, rico, kelley",1722,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7158,"ACH01,ACH22,ACH43","sony, rico, kelley",1320,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7834,"ACH01,ACH22,ACH43","sony, rico, kelley",1509,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3537,"ACH01,ACH22,ACH43","sony, rico, kelley",1383,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
780,"ACH01,ACH22,ACH43","sony, rico, kelley",891,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
5776,"ACH01,ACH22,ACH43","sony, rico, kelley",388,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1544,"ACH01,ACH22,ACH43","sony, rico, kelley",1316,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
8062,"ACH01,ACH22,ACH43","sony, rico, kelley",893,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9973,"ACH01,ACH22,ACH43","sony, rico, kelley",1003,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1210,"ACH01,ACH22,ACH43","sony, rico, kelley",1542,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7444,"ACH01,ACH22,ACH43","sony, rico, kelley",1117,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2856,"ACH01,ACH22,ACH43","sony, rico, kelley",435,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7452,"ACH01,ACH22,ACH43","sony, rico, kelley",1853,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7074,"ACH01,ACH22,ACH43","sony, rico, kelley",892,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7511,"ACH01,ACH22,ACH43","sony, rico, kelley",638,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
2203,"ACH01,ACH22,ACH43","sony, rico, kelley",1914,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9265,"ACH01,ACH22,ACH43","sony, rico, kelley",690,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9440,"ACH01,ACH22,ACH43","sony, rico, kelley",984,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7523,"ACH01,ACH22,ACH43","sony, rico, kelley",1230,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9562,"ACH01,ACH22,ACH43","sony, rico, kelley",985,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9505,"ACH01,ACH22,ACH43","sony, rico, kelley",1522,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3668,"ACH01,ACH22,ACH43","sony, rico, kelley",320,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9150,"ACH01,ACH22,ACH43","sony, rico, kelley",260,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
7915,"ACH01,ACH22,ACH43","sony, rico, kelley",120,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
3788,"ACH01,ACH22,ACH43","sony, rico, kelley",499,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9550,"ACH01,ACH22,ACH43","sony, rico, kelley",1814,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1478,"ACH01,ACH22,ACH43","sony, rico, kelley",1448,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
1095,"ACH01,ACH22,ACH43","sony, rico, kelley",1657,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
9420,"ACH01,ACH22,ACH43","sony, rico, kelley",1214,"Medellin, Bogota, Cali, Barranquilla, Cartagena","jaime arenas, estefa zapata, dairon rodriguez, coman mamey, erika correa"
